original_index,before_lat,before_lon,lat,lon,time
71,22.5420808397368,113.90803946306052,22.54211214905985,113.9080663605732,1547969402.0
72,22.541593879811373,113.90899283946234,22.541648444819998,113.90900879342728,1547969412.0
73,22.541477912649906,113.90937360736751,22.541552047666293,113.90939528350454,1547969422.0
74,22.5413859919893,113.91003023008585,22.54137417468066,113.91002271942843,1547969452.0
75,22.541016029786334,113.91044198420973,22.5410089475484,113.91041383909638,1547969462.0
76,22.540413956579705,113.91024305267722,22.540423213445056,113.91023498238347,1547969472.0
77,22.540710898835886,113.90969437489515,22.540710055322805,113.90968873412972,1547969482.0
78,22.54149494447607,113.90962546354305,22.541495151239275,113.90955382927032,1547969492.0
79,22.542326998417174,113.9095875377301,22.542324689860475,113.90953921733612,1547969502.0
80,22.5432150583708,113.90955761094358,22.543216134224135,113.90951482453366,1547969512.0
